ID,Name,CertRootType,CertRootValue,CertPublisher
ID_SIGNER_VBOX,GlobalSign Primary Object Publishing CA,TBS,041750993D7C9E063F02DFE74699598640911AAB,innotek GmbH
ID_SIGNER_REALTEK,DigiCert EV Code Signing CA,TBS,2D54C16A8F8B69CCDEA48D0603C132F547A5CF75,Realtek Semiconductor Corp.
ID_SIGNER_VERISIGN_2009_REALTEK,VeriSign Class 3 Code Signing 2009-2 CA,TBS,4CDC38C800761463749C3CBD94A12F32E49877BF,Realtek Semiconductor Corp.
ID_SIGNER_WINDOWS_3RD_PARTY_2012,Microsoft Windows Third Party Component CA 2012,TBS,CEC1AFD0E310C55C1DCC601AB8E172917706AA32FB5EAF826813547FDF02DD46,Microsoft Windows Hardware Compatibility Publisher
ID_SIGNER_WINDOWS_3RD_PARTY_2014,Microsoft Windows Third Party Component CA 2014,TBS,D8BE9E4D9074088EF818BC6F6FB64955E90378B2754155126FEEBBBD969CF0AE,Microsoft Windows Hardware Compatibility Publisher
ID_SIGNER_WINDOWS_3RD_PARTY_2010,Microsoft Third Party Component Windows PCA 2010,TBS,90C9669670E75989159E6EEF69625EB6AD17CBA6209ED56F5665D55450A05212,Microsoft Windows Hardware Compatibility Publisher
ID_SIGNER_VERISIGN_2004,VeriSign Class 3 Code Signing 2004 CA,TBS,C7FC1727F5B75A6421A1F95C73BBDB23580C48E5,
ID_SIGNER_VERISIGN_2004_BIOSTAR,VeriSign Class 3 Code Signing 2004 CA,TBS,C7FC1727F5B75A6421A1F95C73BBDB23580C48E5,BIOSTAR MICROTECH INT'L CORP
ID_SIGNER_VERISIGN_2004_ASUS_BS_DEF,VeriSign Class 3 Code Signing 2004 CA,TBS,C7FC1727F5B75A6421A1F95C73BBDB23580C48E5,ASUSTeK Computer Inc.
ID_SIGNER_VERISIGN_2009_BIOSTAR,VeriSign Class 3 Code Signing 2009-2 CA,TBS,4CDC38C800761463749C3CBD94A12F32E49877BF,BIOSTAR MICROTECH INT'L CORP
ID_SIGNER_VERISIGN_2010_BIOSTAR,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,BIOSTAR MICROTECH INT'L CORP
ID_SIGNER_GLOBALSIGN_G2_MICROSTAR,GlobalSign CodeSigning CA - G2,TBS,589A7D4DF869395601BA7538A65AFAE8C4616385,"MICRO-STAR INTERNATIONAL CO., LTD."
ID_SIGNER_VERISIGN_TOSHIBA,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,TOSHIBA CORPORATION
ID_SIGNER_VERISIGN_NOVELL,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,"Novell, Inc."
ID_SIGNER_GLOBALSIGN_MICROSTAR,GlobalSign Primary Object Publishing CA,TBS,041750993D7C9E063F02DFE74699598640911AAB,Micro-Star Int'l Co. Ltd.
ID_SIGNER_VERISIGN_INSYDE,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,Insyde Software Corp.
ID_SIGNER_SYMANTEC_CLASS_3,Symantec Class 3 SHA256 Code Signing CA,TBS,A08E79C386083D875014C409C13D144E0A24386132980DF11FF59737C8489EB1,
ID_SIGNER_SYMANTEC_CLASS_3_EV,Symantec Class 3 Extended Validation Code Signing CA - G2,TBS,B3C925B4048C3F7C444D248A2B101186B57CBA39596EB5DCE0E17A4EE4B32F19,
ID_SIGNER_VERISIGN_AMD,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,"Advanced Micro Devices, Inc."
ID_SIGNER_VERISIGN_TG_SOFT,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,TG Soft S.a.s. Di Tonello Gianfranco e C.
ID_SIGNER_GLOBALSIGN_TG_SOFT,GlobalSign CodeSigning CA - G3,TBS,F478F0E790D5C8EC6056A3AB2567404A991D2837,TG Soft di Tonello Gianfranco ed Enrico S.r.l.
ID_SIGNER_HP,DigiCert SHA2 Assured ID Code Signing CA,TBS,E767799478F64A34B3F53FF3BB9057FE1768F4AB178041B0DCC0FF1E210CBA65,HP Inc.
ID_SIGNER_GETAC,Symantec Class 3 Extended Validation Code Signing CA - G2,TBS,B3C925B4048C3F7C444D248A2B101186B57CBA39596EB5DCE0E17A4EE4B32F19,Getac Technology Corp.
ID_SIGNER_GLOBALSIGN_CHEAT_ENGINE,GlobalSign CA Cheat Engine Publisher,TBS,BD1765C56594221373893EF26D97F88C144FB0E5A0111215B45D7239C3444DF7,Cheat Engine
ID_SIGNER_GLOBALSIGN_G2_CHEAT_ENGINE,GlobalSign CodeSigning CA - G2,TBS,589A7D4DF869395601BA7538A65AFAE8C4616385,Cheat Engine
ID_SIGNER_PHYSMEM,GlobalSign CodeSigning CA - G2,TBS,589A7D4DF869395601BA7538A65AFAE8C4616385,Hilscher Gesellschaft fuer Systemautomation mbH
