ID,FriendlyName,FileName,Authentihash,FileHash,b64FileHash,MinimumFileVersion,MaximumFileVersion,InternalName,ProductName
ID_DENY_DIRECTIO_5D,DirectIO32\65025741ecd0ef516da01319b42c2d96e13cb8d78de53fb7e39cd53ea6d58c75 Hash Sha256,DirectIO32.sys,FB7CB120D51E217EE4CC50BEE619603BE5EB6091634DF45ACC5249AED283C9BE,65025741ECD0EF516DA01319B42C2D96E13CB8D78DE53FB7E39CD53EA6D58C75,ZQJXQezQ71FtoBMZtCwtluE8uNeN5T+345zVPqbVjHU=,,,,
ID_DENY_DIRECTIO_5E,DirectIO32\65025741ecd0ef516da01319b42c2d96e13cb8d78de53fb7e39cd53ea6d58c75 Hash Page Sha1,DirectIO32.sys,B267D4B987B094591C411F3992595751D75FC16E,65025741ECD0EF516DA01319B42C2D96E13CB8D78DE53FB7E39CD53EA6D58C75,ZQJXQezQ71FtoBMZtCwtluE8uNeN5T+345zVPqbVjHU=,,,,
ID_DENY_DIRECTIO_5F,DirectIO32\65025741ecd0ef516da01319b42c2d96e13cb8d78de53fb7e39cd53ea6d58c75 Hash Page Sha256,DirectIO32.sys,DB2CE6D1D435DA700134970EFED70EE117E653E8044BA16D08A089FC2DC828DD,65025741ECD0EF516DA01319B42C2D96E13CB8D78DE53FB7E39CD53EA6D58C75,ZQJXQezQ71FtoBMZtCwtluE8uNeN5T+345zVPqbVjHU=,,,,
ID_DENY_DIRECTIO_60,DirectIO32\72288d4978ee87ea6c8b1566dbd906107357087cef7364fb3dd1e1896d00baeb Hash Sha1,DirectIO32.sys,9703903219C7D7F88748FD68F277649B82F2DF83,72288D4978EE87EA6C8B1566DBD906107357087CEF7364FB3DD1E1896D00BAEB,ciiNSXjuh+psixVm29kGEHNXCHzvc2T7PdHhiW0Auus=,,,,
ID_DENY_DIRECTIO_61,DirectIO32\72288d4978ee87ea6c8b1566dbd906107357087cef7364fb3dd1e1896d00baeb Hash Sha256,DirectIO32.sys,C3A215473D836C1D7315F371BFF4DEA956D7D1B440E43B4671F6E3772BAE00DD,72288D4978EE87EA6C8B1566DBD906107357087CEF7364FB3DD1E1896D00BAEB,ciiNSXjuh+psixVm29kGEHNXCHzvc2T7PdHhiW0Auus=,,,,
ID_DENY_DIRECTIO_62,DirectIO32\72288d4978ee87ea6c8b1566dbd906107357087cef7364fb3dd1e1896d00baeb Hash Page Sha1,DirectIO32.sys,AB47DE03075B4AD717C0660CAA216067A78D6CEB,72288D4978EE87EA6C8B1566DBD906107357087CEF7364FB3DD1E1896D00BAEB,ciiNSXjuh+psixVm29kGEHNXCHzvc2T7PdHhiW0Auus=,,,,
ID_DENY_DIRECTIO_63,DirectIO32\72288d4978ee87ea6c8b1566dbd906107357087cef7364fb3dd1e1896d00baeb Hash Page Sha256,DirectIO32.sys,7B86328F3D0DAAF1E254D555F368CE95B687F30DE3D993E3D541AD20EA0DE20E,72288D4978EE87EA6C8B1566DBD906107357087CEF7364FB3DD1E1896D00BAEB,ciiNSXjuh+psixVm29kGEHNXCHzvc2T7PdHhiW0Auus=,,,,
ID_DENY_DIRECTIO_64,DirectIO32\7dfc2eb033d2e090540860b8853036f40736d02bd22099ff6cf665a90be659cd Hash Sha1,DirectIO32.sys,ABE422F9289FE922F671CC70C78046E2BDE5E309,7DFC2EB033D2E090540860B8853036F40736D02BD22099FF6CF665A90BE659CD,ffwusDPS4JBUCGC4hTA29Ac20CvSIJn/bPZlqQvmWc0=,,,,
ID_DENY_DIRECTIO_65,DirectIO32\7dfc2eb033d2e090540860b8853036f40736d02bd22099ff6cf665a90be659cd Hash Sha256,DirectIO32.sys,C0752DC13548FE8D3B5A7A73C04EBCD7BCFA5E4ECEC9BA233D193BD36ED4B54E,7DFC2EB033D2E090540860B8853036F40736D02BD22099FF6CF665A90BE659CD,ffwusDPS4JBUCGC4hTA29Ac20CvSIJn/bPZlqQvmWc0=,,,,
ID_DENY_DIRECTIO_66,DirectIO32\7dfc2eb033d2e090540860b8853036f40736d02bd22099ff6cf665a90be659cd Hash Page Sha1,DirectIO32.sys,D0353D279CAF5B6AEEE6640E52B10E2EFE45A807,7DFC2EB033D2E090540860B8853036F40736D02BD22099FF6CF665A90BE659CD,ffwusDPS4JBUCGC4hTA29Ac20CvSIJn/bPZlqQvmWc0=,,,,
ID_DENY_DIRECTIO_67,DirectIO32\7dfc2eb033d2e090540860b8853036f40736d02bd22099ff6cf665a90be659cd Hash Page Sha256,DirectIO32.sys,615C190AACB1BB2625960748710E8C5F9AA0D228FDC411B283CE87D27E601C15,7DFC2EB033D2E090540860B8853036F40736D02BD22099FF6CF665A90BE659CD,ffwusDPS4JBUCGC4hTA29Ac20CvSIJn/bPZlqQvmWc0=,,,,
